rank,team,conf,record,adjoe,oe Rank,adjde,de Rank,barthag,rank,proj. W,Proj. L,Pro Con W,Pro Con L,Con Rec.,sos,ncsos,consos,Proj. SOS,Proj. Noncon SOS,Proj. Con SOS,elite SOS,elite noncon SOS,Opp OE,Opp DE,Opp Proj. OE,Opp Proj DE,Con Adj OE,Con Adj DE,Qual O,Qual D,Qual Barthag,Qual Games,FUN,ConPF,ConPA,ConPoss,ConOE,ConDE,ConSOSRemain,Conf Win%,WAB,WAB Rk,Fun Rk,adjt
1,Michigan,B10,25-2,128.99943469825106,4,91.41376101089188,2,0.9813070317416199,1,28.02815186931402,2.971848130685981,18.02815186931402,1.9718481306859814,15-1,0.7686467896746895,0.7316718082846805,0.7940670893803199,0.7853889280554818,0.7316718082846805,0.8149333439294221,0.6126196594354598,0.6665349407874811,117.67838683331473,103.38178492322656,118.36121892171313,102.78269185603827,129.03612967728944,93.82537883165399,128.9818715797378,88.55222265314312,0.9869381692175043,16,0.044679274306015815,1397,1133,1133.1625000000001,1.2328328902518393,0.9998565960310193,0.898398362,0.9375,10.058560566213382,1,81,71.80285833912023
2,Arizona,B12,25-2,125.49064498100186,13,91.25013272076137,1,0.9750157456315017,2,28.308329526734713,2.6916704732652876,15.308329526734713,2.6916704732652876,2-Dec,0.7004795966739172,0.5713031922153193,0.8204291150997582,0.7225705848379604,0.5713031922153193,0.8318192572876457,0.6396395255388758,0.7251761827896422,116.26565916411333,104.61477160427809,116.84868151413069,104.15911372424361,125.36054873997182,90.59350320651205,124.55171330161582,89.74544803398636,0.9774464809922377,15,0.079078178,1180,988,1010.025,1.1682879136655033,0.9781936090690825,0.8716847549452521,0.8571428571428571,9.227824194,3,31,70.49015259091223
3,Duke,ACC,25-2,126.3739288443616,9,92.53063156835844,4,0.9730017224870287,3,28.24216669305494,2.757833306945062,16.24216669305494,1.7578333069450618,13-1,0.7050961278400776,0.6284188541963436,0.7762964533664019,0.726633236,0.6284188541963436,0.797565845,0.6249191463990216,0.6305898828473702,116.19690513317188,104.08197260838715,116.78534840674533,103.7059659472886,126.71184274274297,93.49711382954482,124.40788079765933,90.53393565550284,0.9747946077511482,15,0.092298061,1111,891,913.0499999999998,1.216800832375007,0.975850172,0.8720087151910705,0.9285714285714286,9.761030688340155,2,16,65.70524213548433
4,Houston,B12,23-4,127.40062323781093,6,93.29641018156411,6,0.9729562330197145,4,26.345161285487006,4.654838714512997,14.345161285487002,3.654838714512996,3-Nov,0.6923377889552919,0.5340038687012798,0.8393621434768744,0.7040518647713222,0.5340038687012797,0.826864306,0.6653412257830206,0.7935319475658628,115.40445280616184,104.8816882,115.78179098394433,104.75976749023351,129.1685108581247,92.82364477232352,130.68785788386768,97.63039699579633,0.9662245645783585,12,-0.001452953,1067,895,896.3,1.1904496262412139,0.9985495927702779,0.7831218765295279,0.7857142857142857,6.905971677884395,6,185,62.88389338940485
5,Florida,SEC,21-6,125.35967478509775,14,92.12380677211507,3,0.9718763155556054,5,24.266562282564188,6.733437717435817,15.266562282564184,2.733437717435816,2-Dec,0.7306563414198958,0.6189677712774769,0.8343671565521422,0.7453665557499253,0.6189677712774767,0.8366545667578051,0.6336621844520692,0.6967470362311814,117.94808346010022,105.31182370967902,118.52226636417599,105.16088996159279,127.1959131655808,90.95460904,126.18526623763066,93.00369976007504,0.970936757,14,-0.057122216,1226,1008,1011.3,1.212300998714526,0.9967368733313557,0.8446605024776255,0.8571428571428571,5.743966342597105,14,306,70.20993768227805
6,Illinois,B10,22-6,133.79943478384195,1,98.57949176385344,26,0.9710555385639549,6,24.423928779446076,6.576071220553924,15.423928779446076,4.576071220553924,13-4,0.7242356568788073,0.5788953294567746,0.8182793981518869,0.7276480614334768,0.5788953294567746,0.8094620640206628,0.6293490115165439,0.7237013805214162,117.06424402629841,104.14932697578521,117.10751951750497,103.93545900811944,134.94780878812503,99.51904749,134.9815490714399,99.93897295641865,0.9694288761536921,16,-0.035992102,1405,1206,1116.3125,1.2586081406416214,1.0803426459884664,0.759497171,0.7647058823529411,6.455444200674196,9,264,65.30468815430362
7,Purdue,B10,22-5,131.01023157757405,2,98.47157584272998,25,0.9638526958146625,7,25.04758793510973,5.952412064890269,15.04758793510973,4.952412064890269,4-Dec,0.7418051877613144,0.625242722,0.8219418826451189,0.7601222078370532,0.6252427224757813,0.834305925,0.6153626842102363,0.723598042,117.66373328419438,103.92077799829585,118.13109705797234,103.5731531493798,131.19367743179512,98.45567546366526,131.51628491310808,96.35645327116804,0.9728110070703249,14,0.020218025534780026,1285,1134,1053.2875,1.2199897938597013,1.0766291254761877,0.883762093,0.75,7.114979769721494,5,131,65.05960807957355
8,Iowa St.,B12,23-4,124.88186141043255,17,95.19371869616401,9,0.9577799794031159,8,25.708802958102837,5.291197041897161,12.708802958102838,5.291197041897161,4-Oct,0.645991091,0.4641535661995077,0.8148402205847303,0.6719149186837367,0.46415356619950787,0.8219647843667907,0.6737392407260421,0.796085538,113.27637234871936,105.24093482843861,114.28906702702562,104.63956913026982,123.46000406087117,94.87504408013749,119.58698479401308,96.00540453467015,0.9259345606512505,10,0.03337183,1069,942,927.9624999999999,1.1519862063391573,1.0151272276627559,0.8469007576040019,0.7142857142857143,6.085387398689594,10,106,67.02678550479125
9,Connecticut,BE,25-3,124.12637295864948,20,95.46917031682227,13,0.9534124088768412,9,27.469788788430844,3.5302112115691533,17.469788788430847,2.5302112115691533,15-2,0.6952329440681105,0.5894612082211289,0.7636734790279222,0.7052616388024311,0.5894612082211291,0.7689518756221471,0.6705511676112921,0.6413943453761178,115.5859902,105.04617388226195,115.3260249377434,104.47716355549039,123.26451995941036,95.83133560094211,123.85571657251081,94.38223102277261,0.957924027,12,0.10535287958256223,1349,1168,1147.3999999999999,1.1757015861948754,1.017953634303643,0.7988627896560884,0.8823529411764706,8.315214368,4,10,65.13233247024638
10,Texas Tech,B12,20-7,125.86504794876782,11,97.95055483794188,22,0.9470295444404635,10,22.523449731388624,8.476550268611376,12.523449731388624,5.476550268611375,4-Oct,0.7301114599052307,0.6404280737331287,0.8133888899221827,0.7479461514875224,0.6404280737331287,0.8255980965323622,0.6162814392372503,0.691568301,118.33198282922757,104.42864657628098,118.41787402438649,103.64916954265634,126.25821019532793,95.80525408129894,125.02681805788767,99.13602048150105,0.9351364841384693,13,0.010864479,1128,1002,957.3625000000001,1.1782370836543106,1.046625494522712,0.8683303196679902,0.7142857142857143,4.811700903054709,16,149,66.97440765780021
